,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
0,30s,3,8,6,0.97533748701973,0.5082519720026227,0.975444002014385,0.9755530925386454,0.97533748701973
1,30s,3,8,12,0.9756836275527865,0.5120429781436608,0.9758443739303667,0.9760071233780727,0.9756836275527865
2,30s,3,8,18,0.9758566978193146,0.589996496617433,0.9762575200623477,0.9766708289796187,0.9758566978193146
3,30s,3,16,6,0.97533748701973,0.4799803830712684,0.97533748701973,0.97533748701973,0.97533748701973
4,30s,3,16,12,0.97533748701973,0.5106849901271303,0.975462809340562,0.9755889954130847,0.97533748701973
5,30s,3,16,18,0.97533748701973,0.5117881604975388,0.9753773227886977,0.975417282656634,0.97533748701973
6,30s,3,32,6,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
7,30s,3,32,12,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
8,30s,3,32,18,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
9,30s,6,8,6,0.9640785943045097,0.44225896377859697,0.9640785943045097,0.9640785943045097,0.9640785943045097
10,30s,6,8,12,0.9640785943045097,0.47078766527298654,0.9641362993739,0.9642084307106379,0.9640785943045097
11,30s,6,8,18,0.9640785943045097,0.4619441278580205,0.964147840387778,0.9642517095126807,0.9640785943045097
12,30s,6,16,6,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
13,30s,6,16,12,0.9640785943045097,0.41444423797626906,0.9641172288805167,0.9641559838134584,0.9640785943045097
14,30s,6,16,18,0.9644248247208518,0.44179581667308837,0.9646170325280845,0.9648115426627468,0.9644248247208518
15,30s,6,32,6,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
16,30s,6,32,12,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
17,30s,6,32,18,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
18,30s,10,8,6,0.953156117412763,0.3659521881288067,0.9531936880748968,0.9532313757795917,0.953156117412763
19,30s,10,8,12,0.953156117412763,0.3898372915701727,0.9532235960121939,0.9532963476573528,0.953156117412763
20,30s,10,8,18,0.953156117412763,0.4187017970821184,0.9533433687795,0.9535371457835279,0.953156117412763
21,30s,10,16,6,0.953156117412763,0.3432488795692238,0.953156117412763,0.953156117412763,0.953156117412763
22,30s,10,16,12,0.953156117412763,0.34219613134227345,0.9531907524460992,0.9532261243950383,0.953156117412763
23,30s,10,16,18,0.9535024677461252,0.39084517387478396,0.9537049553102414,0.9539109383857454,0.9535024677461252
24,30s,10,32,6,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
25,30s,10,32,12,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
26,30s,10,32,18,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
27,1min,3,8,6,0.9684957590444867,0.48214890144442896,0.9685085812833779,0.9685223898483375,0.9684957590444867
28,1min,3,8,12,0.9684957590444867,0.5069662162075536,0.9686865539591868,0.9688996595695574,0.9684957590444867
29,1min,3,8,18,0.9646875540938203,0.5254874632436226,0.9668798464192808,0.9691044526187573,0.9646875540938203
30,1min,3,16,6,0.9684957590444867,0.42256710195068853,0.9684957590444867,0.9684957590444867,0.9684957590444867
31,1min,3,16,12,0.9684957590444867,0.4507382420807345,0.9684957590444867,0.9684957590444867,0.9684957590444867
32,1min,3,16,18,0.9688419594945473,0.4822205504744113,0.9690149800783423,0.9691909894675171,0.9688419594945473
33,1min,3,32,6,0.9684957590444867,0.42256710195068853,0.9684957590444867,0.9684957590444867,0.9684957590444867
34,1min,3,32,12,0.9684957590444867,0.42256710195068853,0.9684957590444867,0.9684957590444867,0.9684957590444867
35,1min,3,32,18,0.9684957590444867,0.4496497079733324,0.9685699448552141,0.9686455573161477,0.9684957590444867
36,1min,6,8,6,0.9513335642535504,0.4236503990312069,0.9514163465267375,0.9514991627131868,0.9513335642535504
37,1min,6,8,12,0.9478697609975754,0.4455191059916245,0.9478825898985234,0.9478964056380058,0.9478697609975754
38,1min,6,8,18,0.9243158988569449,0.4504751867361791,0.9279076466602649,0.9444655500147006,0.9243158988569449
39,1min,6,16,6,0.9513335642535504,0.3442404210982451,0.9513335642535504,0.9513335642535504,0.9513335642535504
40,1min,6,16,12,0.9513335642535504,0.3671897825047948,0.9513335642535504,0.9513335642535504,0.9513335642535504
41,1min,6,16,18,0.9515067544163491,0.42368089114326046,0.9515921741370457,0.9516776239775308,0.9515067544163491
42,1min,6,32,6,0.9513335642535504,0.3442404210982451,0.9513335642535504,0.9513335642535504,0.9513335642535504
43,1min,6,32,12,0.9513335642535504,0.3442404210982451,0.9513335642535504,0.9513335642535504,0.9513335642535504
44,1min,6,32,18,0.9513335642535504,0.3930294253545162,0.9514090989039922,0.9514851056459993,0.9513335642535504
45,1min,10,8,6,0.9320623916811092,0.3573065831553341,0.9322764807829544,0.9324945840554593,0.9320623916811092
46,1min,10,8,12,0.9102253032928943,0.38697323351925494,0.9112802350990882,0.9264009243212017,0.9102253032928943
47,1min,10,8,18,0.9072790294627383,0.38068901317577264,0.9228459340793004,0.9392176308229853,0.9072790294627383
48,1min,10,16,6,0.9317157712305026,0.2904865412983716,0.9317157712305026,0.9317157712305026,0.9317157712305026
49,1min,10,16,12,0.9317157712305026,0.357099242713803,0.9317221901277359,0.9317291027862952,0.9317157712305026
50,1min,10,16,18,0.9317157712305026,0.35704095274811193,0.9319096089133165,0.9321045050926972,0.9317157712305026
51,1min,10,32,6,0.9317157712305026,0.2904865412983716,0.9317157712305026,0.9317157712305026,0.9317157712305026
52,1min,10,32,12,0.9317157712305026,0.2904865412983716,0.9317157712305026,0.9317157712305026,0.9317157712305026
53,1min,10,32,18,0.9317157712305026,0.30985231071826297,0.9317157712305026,0.9317157712305026,0.9317157712305026
54,5min,3,8,6,0.901213171577123,0.47658561300499835,0.919782735554879,0.9403343356260745,0.901213171577123
55,5min,3,8,12,0.9038128249566725,0.8212674525620872,0.9274448427570082,0.9524035461429377,0.9038128249566725
56,5min,3,8,18,0.8812824956672444,0.8879637394672737,0.9215293258779678,0.9682075234202304,0.8812824956672444
57,5min,3,16,6,0.9306759098786829,0.5071360009575931,0.9309485327050027,0.9312273515046477,0.9306759098786829
58,5min,3,16,12,0.9055459272097054,0.8226680832880603,0.9292226090284735,0.9542415912209905,0.9055459272097054
59,5min,3,16,18,0.902946273830156,0.8197117564716784,0.9260026648305171,0.9508168464257252,0.902946273830156
60,5min,3,32,6,0.9306759098786829,0.45783654227597526,0.9306759098786829,0.9306759098786829,0.9306759098786829
61,5min,3,32,12,0.9046793760831889,0.4947101878571292,0.9250575484212881,0.9475347700508057,0.9046793760831889
62,5min,3,32,18,0.9055459272097054,0.6176887926887926,0.9270279409899818,0.9509460594257535,0.9055459272097054
63,5min,6,8,6,0.8670721112076455,0.4534944602694841,0.8746886376291496,0.8904323459349878,0.8670721112076455
64,5min,6,8,12,0.8592528236316247,0.8571907806456704,0.8990014241068398,0.9426313579981147,0.8592528236316247
65,5min,6,8,18,0.8696785403996524,0.8681312700687553,0.9094917125898703,0.9540791455165029,0.8696785403996524
66,5min,6,16,6,0.8618592528236316,0.358700354389025,0.8747879875979271,0.888363242693412,0.8618592528236316
67,5min,6,16,12,0.8731537793223284,0.7296397432212322,0.895152757542077,0.9197049431946501,0.8731537793223284
68,5min,6,16,18,0.8722849695916595,0.8738439699175451,0.9105396758225881,0.9572309563200881,0.8722849695916595
69,5min,6,32,6,0.8792354474370113,0.35755971318169627,0.879173354640525,0.8791173909917247,0.8792354474370113
70,5min,6,32,12,0.8714161598609904,0.547568834452526,0.8920712758281297,0.9152703303444796,0.8714161598609904
71,5min,6,32,18,0.8714161598609904,0.7283531046148566,0.8933760156208198,0.9177938281898637,0.8714161598609904
72,5min,10,8,6,0.8430688753269399,0.5272226475913298,0.8608762584392357,0.8808317113306541,0.8430688753269399
73,5min,10,8,12,0.8395815170008718,0.8373963607014454,0.878511364834211,0.9212860451219204,0.8395815170008718
74,5min,10,8,18,0.8491717523975588,0.8510582638267843,0.8863782143592858,0.9325681078954124,0.8491717523975588
75,5min,10,16,6,0.8509154315605929,0.36961194041720685,0.870450237455637,0.8909460785107521,0.8509154315605929
76,5min,10,16,12,0.8544027898866609,0.7375397699516903,0.8770468196993906,0.9009701427706557,0.8544027898866609
77,5min,10,16,18,0.8413251961639059,0.8412566661193912,0.8785873927995413,0.9227288430284786,0.8413251961639059
78,5min,10,32,6,0.8587619877942458,0.34571132338565924,0.8631219665446558,0.8677637975788873,0.8587619877942458
79,5min,10,32,12,0.8526591107236269,0.5534386019653987,0.8729419037717663,0.8957430201412745,0.8526591107236269
80,5min,10,32,18,0.8491717523975588,0.8510582638267843,0.8863782143592858,0.9325681078954124,0.8491717523975588
